model,n_estimators,max_depth,learning_rate,min_child_weight,subsample,colsample_bytree,num_leaves,min_child_samples,feature_fraction,bagging_fraction,bagging_freq
XGBoost,400,11.0,0.01563309102996398,4.0,0.8780150860792802,0.6869690699847065,,,,,
LightGBM,600,,0.01939376030187275,,,,134.0,30.0,0.5808457289759489,0.8689369356819644,3.0
