Target,Train_N,Test_N,Train_Active_Pct,BA,F1,MCC,AUC
L_amazonensis,749,344,39.4%,0.76357918810749,0.7076923076923077,0.5303519222018755,0.832904516866781
L_infantum,1228,542,57.0%,0.7339120290949015,0.7580372250423012,0.4679814379119559,0.8128662595210321
T_cruzi,5068,2106,56.7%,0.8100875381642798,0.8338926174496645,0.6176476723686773,0.8855039344238116
L_donovani,3056,1338,52.3%,0.7540216457191965,0.7760989010989011,0.5123917628917054,0.8272896748666165
