Threshold,IC50_equiv,Train_Active,Train_Active_Pct,BA,F1,MCC,AUC
pIC50≥5.0,≤10 μM,4650,53.9%,0.7534807849391263,0.7713107241063245,0.5067428281287687,0.8157120317787545
pIC50≥5.5,≤3 μM,2894,33.5%,0.7587731089284709,0.679098679098679,0.5329174290108171,0.8381940765358088
pIC50≥6.0,≤1 μM,1841,21.3%,0.7809045073779974,0.6646153846153846,0.5821658638050459,0.8783725339860544
