iteration,random_BA
1,0.515079835855148
2,0.4964963631413124
3,0.4871606246839628
4,0.5167582364152632
5,0.5139902368820257
6,0.49509558909331364
7,0.497863588626551
8,0.49742842973277845
9,0.5085018864988914
10,0.5094159632813412
11,0.5008187794157688
12,0.5022015636547512
13,0.5059920650355907
14,0.4942111711851881
15,0.5141181103893577
16,0.5192461783811116
17,0.5111575712785406
18,0.5180248162122214
19,0.5039767202147107
20,0.49991248201019095
21,0.5019394958963788
22,0.506594966743164
23,0.4955783966704267
24,0.5100976311797425
25,0.5038799642148664
26,0.502040141584659
27,0.48575596094752815
28,0.4878836205219962
29,0.5012680384301218
30,0.5265690030728538
31,0.4850329651094947
32,0.4883110000388969
33,0.4866403788556537
34,0.4987815550974367
35,0.48054523707651015
36,0.49848982846473994
37,0.4739478392780738
38,0.4890262165000584
39,0.491412054144463
40,0.5083779026799954
41,0.4859134933291843
42,0.4852653739935431
43,0.495690711424015
44,0.4915812555914271
45,0.4974619782955385
46,0.5068764829437162
47,0.5156686374421409
48,0.4837445058150842
49,0.4955448481076665
50,0.4865319537905014
real_model,0.7543972927768485
