model,n_optuna_trials,optuna_best_BA,cv_balanced_accuracy,cv_f1,cv_mcc,cv_roc_auc,cv_balanced_accuracy_std,cv_f1_std,cv_mcc_std,cv_roc_auc_std
XGBoost,30,0.7401,0.7556,0.7693,0.5103,0.8432,0.0084,0.0078,0.0166,0.0079
LightGBM,30,0.7516,0.7583,0.7797,0.5177,0.8439,0.0051,0.0057,0.0105,0.007
