std_smiles,pIC50,activity_class
CC1(COCc2ccc(-c3ccc(F)cc3)cc2)CCn2cc([N+](=O)[O-])nc2O1,6.075720713938118,Active
O=C(c1cc2cc(Cl)ccc2[nH]1)N1CCCCC1c1cccnc1,4.624595119745319,Inactive
C/C(=N\NC(N)=[Se])c1ccccc1,4.906578314837765,Inactive
c1ccc(-c2cc(-c3ccccc3)c3ncccc3n2)cc1,4.749336080536756,Inactive
Cc1cc(N(C)C)nc(Nc2ccc(NC(=O)Nc3ccccc3)cc2)n1,5.364492126384054,Active
CCCCCCCCCc1cc2n(c(=N)n1)CCC2,5.698970004336019,Active
O=[N+]([O-])c1cn2c(n1)OC[C@H](OCc1ccc(OCc3ccccc3)cc1)C2,6.060480747381382,Active
N=C(N)c1ccc(OCCCCCOc2ccc(C(=N)N)nc2)cn1,6.327902142064283,Active
COc1ccc(Cn2nc(C(=O)Nc3ccc(F)c(C(=O)NC4CC4)c3)ccc2=O)cc1C#N,6.799998134593398,Active
CC(C)/N=c1\cc2n(-c3ccc(Cl)cc3)c3ccccc3nc-2cc1Nc1ccc(Cl)cc1,5.348721986001856,Active
COc1cc2c(cc1OC)C(C)(CC#N)c1cccn1C2,3.645488200255728,Inactive
OC[C@H]1CC2CCN1C[C@@H]2C#Cc1ccccc1,4.59176003468815,Inactive
CC(C)Oc1ccc(C(O)(c2ccc(Cl)cc2)c2cncnc2)cn1,7.397940008672037,Active
CC1CN(Cc2ccc(C#N)cc2)CCN1c1ccc(NC(=O)c2ccccc2F)cc1,4.600000074606178,Inactive
CCN1CCN(c2ccc(-c3cc(Cn4ccnc4[N+](=O)[O-])on3)cc2)CC1,5.795880017344075,Active
Cc1ncnc2c1c(-c1cccc3c1oc1ccccc13)cn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,4.294136287716081,Inactive
C[C@H]1O[C@@H](n2cnc3c(N)nc(N=[N+]=[N-])nc32)[C@H](O)[C@@H]1O,3.903089986991944,Inactive
Cc1cc(OCCCCCCn2ccnc2)cc(C)c1Cl,7.638272163982407,Active
CC(C)CS(=O)(=O)NC1CCN(C(c2cnccn2)c2ccc(F)cc2F)CC1,6.1249387366083,Active
COc1cc(-n2cc(CNC3=C(Cl)C(=O)OC3O)nn2)cc(OC)c1OC,4.94692155651658,Inactive
[O-][n+]1onc2cc(/C=C/c3ccccc3)ccc21,5.1249387366083,Active
N#Cc1cccc(C(O)(c2ccc(Cl)cc2)c2cccnc2)c1,6.958607314841775,Active
Cc1ccc2c(c1)N(C)/C(=C/C=C/c1oc3ccccc3[n+]1C)O2,7.657577319177793,Active
C[S+]([O-])c1nc2ccc(Cl)cc2nc1NC1CCCCC1,5.721246399047171,Active
Nc1ncnc2c1c(C(F)(F)F)nn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,4.568636235841013,Inactive
O=[N+]([O-])c1ccc(-n2cc(Cn3cnc([N+](=O)[O-])n3)nn2)cc1,6.214670164989233,Active
Cc1ccc(-c2nc3cc(Cl)ccc3nc2-c2ccccc2)cc1,4.443697499232712,Inactive
CN1/C(=C/C=C/c2oc3ccc(Cl)cc3[n+]2C)Sc2ccccc21,7.214670164989233,Active
