molecule_chembl_id,std_smiles,canonical_smiles,pIC50,activity_class,standard_type,target_organism,organism_key,scaffold,assay_chembl_id,assay_description
CHEMBL3431391,COc1cccc(S(=O)(=O)Nc2ccc3c(c2)CC(N2CCC(NC(=O)C4CC4)CC2)C3)c1,COc1cccc(S(=O)(=O)Nc2ccc3c(c2)CC(N2CCC(NC(=O)C4CC4)CC2)C3)c1,4.6,Inactive,IC50,Leishmania donovani,L_donovani,O=C(NC1CCN(C2Cc3ccc(NS(=O)(=O)c4ccccc4)cc3C2)CC1)C1CC1,CHEMBL3431452,"GSK_TCAKS: pIC50 Leishmania donovani Imaging: Amastigotes/Macrophages. Assay plates (384-well) were prepared by adding 250nL of compound to each well. For single shot assay, the final compound concentration was 5 uM. For potency determinations, eleven-point one in three dilution curves were generated with a top concentration of 50 uM. Two exposure images were taken for each well using 405 nm and 488 nm laser excitation. Automated image analysis was performed with a script developed on Acapella High Content Imaging and Analysis Software (PerkinElmer). Output: Average number of amastigotes per macrophage cell were reported for each well."
CHEMBL4779068,COc1ccccc1-c1[nH]nc2nc(NC3CCN(S(=O)(=O)CCC(F)(F)F)CC3)ncc12,COc1ccccc1-c1n[nH]c2nc(NC3CCN(S(=O)(=O)CCC(F)(F)F)CC3)ncc12,6.7,Active,EC50,Leishmania donovani,L_donovani,c1ccc(-c2[nH]nc3nc(NC4CCNCC4)ncc23)cc1,CHEMBL4673626,Antileishmanial activity against promastigote stage of Leishmania donovani infected in human THP-1 cells incubated for 72 hrs by resazurin dye based assay
CHEMBL4516798,COc1ccccc1-c1[nH]nc2nc(N[C@H]3CC[C@H](NS(=O)(=O)CCC(F)(F)F)CC3)nc(OC)c12,COc1ccccc1-c1n[nH]c2nc(N[C@H]3CC[C@H](NS(=O)(=O)CCC(F)(F)F)CC3)nc(OC)c12,6.4,Active,EC50,Leishmania donovani,L_donovani,c1ccc(-c2[nH]nc3nc(NC4CCCCC4)ncc23)cc1,CHEMBL4369850,Antileishmanial activity against Leishmania donovani axenic amastigote infected in human THP1 cells by intramacrophage assay
CHEMBL3430982,COc1ccccc1C1CC(c2ccc(NS(C)(=O)=O)cc2)=NN1C(=O)c1cccs1,COc1ccccc1C1CC(c2ccc(NS(C)(=O)=O)cc2)=NN1C(=O)c1cccs1,5.4,Active,IC50,Leishmania donovani,L_donovani,O=C(c1cccs1)N1N=C(c2ccccc2)CC1c1ccccc1,CHEMBL3431451,"GSK_TCAKS: pIC50 Leishmania donovani Imaging: Infected Macrophages. Assay plates (384-well) were prepared by adding 250nL of compound to each well. For single shot assay, the final compound concentration was 5 uM. For potency determinations, eleven-point one in three dilution curves were generated with a top concentration of 50 uM. Two exposure images were taken for each well using 405 nm and 488 nm laser excitation. Automated image analysis was performed with a script developed on Acapella High Content Imaging and Analysis Software (PerkinElmer). Output: Percent of infected macrophage cells were reported for each well."
CHEMBL4449956,COc1nc(N[C@H]2CC[C@H](NS(=O)(=O)CC3CCCO3)CC2)nc2[nH]nc(N3CCOCC3)c12,COc1nc(N[C@H]2CC[C@H](NS(=O)(=O)CC3CCCO3)CC2)nc2[nH]nc(N3CCOCC3)c12,5.300000000000001,Active,EC50,Leishmania donovani,L_donovani,O=S(=O)(CC1CCCO1)N[C@H]1CC[C@H](Nc2ncc3c(N4CCOCC4)n[nH]c3n2)CC1,CHEMBL4369850,Antileishmanial activity against Leishmania donovani axenic amastigote infected in human THP1 cells by intramacrophage assay
CHEMBL4453951,COc1nc(N[C@H]2CC[C@H](NS(=O)(=O)CCC(C)C)CC2)nc2[nH]nc(N3CCOCC3)c12,COc1nc(N[C@H]2CC[C@H](NS(=O)(=O)CCC(C)C)CC2)nc2[nH]nc(N3CCOCC3)c12,6.7,Active,EC50,Leishmania donovani,L_donovani,c1nc(NC2CCCCC2)nc2[nH]nc(N3CCOCC3)c12,CHEMBL4369850,Antileishmanial activity against Leishmania donovani axenic amastigote infected in human THP1 cells by intramacrophage assay
CHEMBL4463236,COc1nc(N[C@H]2CC[C@H](NS(=O)(=O)CCC(C)C)CC2)nc2[nH]nc(N3CCOC[C@@H]3C)c12,COc1nc(N[C@H]2CC[C@H](NS(=O)(=O)CCC(C)C)CC2)nc2[nH]nc(N3CCOC[C@@H]3C)c12,6.0,Active,EC50,Leishmania donovani,L_donovani,c1nc(NC2CCCCC2)nc2[nH]nc(N3CCOCC3)c12,CHEMBL4369850,Antileishmanial activity against Leishmania donovani axenic amastigote infected in human THP1 cells by intramacrophage assay
CHEMBL4572962,COc1nc(N[C@H]2CC[C@H](NS(=O)(=O)CCC(C)C)CC2)nc2[nH]nc(N3CCOC[C@H]3C)c12,COc1nc(N[C@H]2CC[C@H](NS(=O)(=O)CCC(C)C)CC2)nc2[nH]nc(N3CCOC[C@H]3C)c12,6.6,Active,EC50,Leishmania donovani,L_donovani,c1nc(NC2CCCCC2)nc2[nH]nc(N3CCOCC3)c12,CHEMBL4369850,Antileishmanial activity against Leishmania donovani axenic amastigote infected in human THP1 cells by intramacrophage assay
CHEMBL4469958,COc1nc(N[C@H]2CC[C@H](NS(=O)(=O)CCC(F)(F)F)CC2)nc2[nH]nc(N3CCOCC3)c12,COc1nc(N[C@H]2CC[C@H](NS(=O)(=O)CCC(F)(F)F)CC2)nc2[nH]nc(N3CCOCC3)c12,5.9,Active,EC50,Leishmania donovani,L_donovani,c1nc(NC2CCCCC2)nc2[nH]nc(N3CCOCC3)c12,CHEMBL4369850,Antileishmanial activity against Leishmania donovani axenic amastigote infected in human THP1 cells by intramacrophage assay
CHEMBL3431168,COc1ncc(-c2ccc3nccc(-c4ccncc4)c3c2)cc1NS(=O)(=O)C1CC1,COc1ncc(-c2ccc3nccc(-c4ccncc4)c3c2)cc1NS(=O)(=O)C1CC1,5.95,Active,IC50,Leishmania donovani,L_donovani,O=S(=O)(Nc1cncc(-c2ccc3nccc(-c4ccncc4)c3c2)c1)C1CC1,CHEMBL3431451,"GSK_TCAKS: pIC50 Leishmania donovani Imaging: Infected Macrophages. Assay plates (384-well) were prepared by adding 250nL of compound to each well. For single shot assay, the final compound concentration was 5 uM. For potency determinations, eleven-point one in three dilution curves were generated with a top concentration of 50 uM. Two exposure images were taken for each well using 405 nm and 488 nm laser excitation. Automated image analysis was performed with a script developed on Acapella High Content Imaging and Analysis Software (PerkinElmer). Output: Percent of infected macrophage cells were reported for each well."
CHEMBL3431185,COc1ncc(-c2ccc3nccc(-c4ccncc4)c3c2)cc1NS(C)(=O)=O,COc1ncc(-c2ccc3nccc(-c4ccncc4)c3c2)cc1NS(C)(=O)=O,5.55,Active,IC50,Leishmania donovani,L_donovani,c1cncc(-c2ccc3nccc(-c4ccncc4)c3c2)c1,CHEMBL3431451,"GSK_TCAKS: pIC50 Leishmania donovani Imaging: Infected Macrophages. Assay plates (384-well) were prepared by adding 250nL of compound to each well. For single shot assay, the final compound concentration was 5 uM. For potency determinations, eleven-point one in three dilution curves were generated with a top concentration of 50 uM. Two exposure images were taken for each well using 405 nm and 488 nm laser excitation. Automated image analysis was performed with a script developed on Acapella High Content Imaging and Analysis Software (PerkinElmer). Output: Percent of infected macrophage cells were reported for each well."
CHEMBL3431181,COc1ncc(-c2ccc3ncnc(N4CCOCC4)c3c2)cc1NS(C)(=O)=O,COc1ncc(-c2ccc3ncnc(N4CCOCC4)c3c2)cc1NS(C)(=O)=O,5.75,Active,IC50,Leishmania donovani,L_donovani,c1cncc(-c2ccc3ncnc(N4CCOCC4)c3c2)c1,CHEMBL3431451,"GSK_TCAKS: pIC50 Leishmania donovani Imaging: Infected Macrophages. Assay plates (384-well) were prepared by adding 250nL of compound to each well. For single shot assay, the final compound concentration was 5 uM. For potency determinations, eleven-point one in three dilution curves were generated with a top concentration of 50 uM. Two exposure images were taken for each well using 405 nm and 488 nm laser excitation. Automated image analysis was performed with a script developed on Acapella High Content Imaging and Analysis Software (PerkinElmer). Output: Percent of infected macrophage cells were reported for each well."
CHEMBL2172404,CS(=O)(=O)N(CCOCCOc1ccc(-c2cc(=O)c3ccccc3o2)cc1)CCOCCOc1ccc(-c2cc(=O)c3ccccc3o2)cc1,CS(=O)(=O)N(CCOCCOc1ccc(-c2cc(=O)c3ccccc3o2)cc1)CCOCCOc1ccc(-c2cc(=O)c3ccccc3o2)cc1,6.085,Active,IC50,Leishmania donovani,L_donovani,O=c1cc(-c2ccc(OCCOCCNCCOCCOc3ccc(-c4cc(=O)c5ccccc5o4)cc3)cc2)oc2ccccc12,CHEMBL2175841,Antimicrobial activity against SSG-resistant Leishmania donovani 39 promastigote assessed as inhibition of parasite growth after 72 hrs by MTS assay
