molecule_chembl_id,std_smiles,canonical_smiles,pIC50,activity_class,standard_type,target_organism,organism_key,scaffold,assay_chembl_id,assay_description
CHEMBL1807201,N#Cc1c(NS(=O)(=O)c2ccccc2[N+](=O)[O-])[n+]([O-])c2ccc(Cl)cc2[n+]1[O-],N#Cc1c(NS(=O)(=O)c2ccccc2[N+](=O)[O-])[n+]([O-])c2ccc(Cl)cc2[n+]1[O-],5.51,Active,IC50,Leishmania amazonensis,L_amazonensis,O=S(=O)(Nc1c[nH+]c2ccccc2[nH+]1)c1ccccc1,CHEMBL1811093,Leishmanicidal activity against axenic amastigotes of Leishmania amazonensis by MTT assay
CHEMBL4064179,N=C1CCN(S(=O)(=O)c2ccc(NC(=O)c3ccc([N+](=O)[O-])o3)cc2)CC1,N=C1CCN(S(=O)(=O)c2ccc(NC(=O)c3ccc([N+](=O)[O-])o3)cc2)CC1,4.98,Inactive,EC50,Leishmania amazonensis,L_amazonensis,N=C1CCN(S(=O)(=O)c2ccc(NC(=O)c3ccco3)cc2)CC1,CHEMBL3996935,Anti-parasitic activity against Leishmania amazonensis promastigotes after 44 hrs by CellTiter-Blue assay
CHEMBL5573238,NS(=O)(=O)c1ccc(-n2cc(Cn3cnc([N+](=O)[O-])n3)nn2)cc1,NS(=O)(=O)c1ccc(-n2cc(Cn3cnc([N+](=O)[O-])n3)nn2)cc1,5.33,Active,IC50,Leishmania amazonensis,L_amazonensis,c1ccc(-n2cc(Cn3cncn3)nn2)cc1,CHEMBL5529588,Antileishmanial activity against Leishmania amazonensis IFLA/BR/1967/PH8 amastigotes infected in murine peritoneal macrophages incubated for 24 hrs by Giemsa staining based analysis
CHEMBL4562842,Nc1ccc(S(=O)(=O)[N-][N+](=O)[O-])cc1,Nc1ccc(S(=O)(=O)[N-][N+](=O)[O-])cc1.[Ag+],5.07,Active,IC50,Leishmania amazonensis,L_amazonensis,c1ccccc1,CHEMBL4433602,Antileishmanial activity against Leishmania amazonensis IFLA/BR/1967/PH8 promastigotes assessed as reduction in parasite viability IFLA/BR/1967/PH8 after 48 hrs by resazurin dye based assay
CHEMBL4476550,Nc1cccc(S(=O)(=O)[N-][N+](=O)[O-])c1,Nc1cccc(S(=O)(=O)[N-][N+](=O)[O-])c1.[Ag+],4.78,Inactive,IC50,Leishmania amazonensis,L_amazonensis,c1ccccc1,CHEMBL4433602,Antileishmanial activity against Leishmania amazonensis IFLA/BR/1967/PH8 promastigotes assessed as reduction in parasite viability IFLA/BR/1967/PH8 after 48 hrs by resazurin dye based assay
CHEMBL4245375,O=C(/C=C/c1cccc(S(=O)(=O)Nc2ccccc2)c1)c1ccccc1,O=C(/C=C/c1cccc(S(=O)(=O)Nc2ccccc2)c1)c1ccccc1,5.7,Active,IC50,Leishmania amazonensis,L_amazonensis,O=C(/C=C/c1cccc(S(=O)(=O)Nc2ccccc2)c1)c1ccccc1,CHEMBL4231806,Antileishmanial activity against Leishmania amazonensis MHOM/BR/75/M-2904 strain Lb2904 amastigotes infected in mouse J774A1 cells after 48 hrs by Giemsa staining based microscopic method
CHEMBL3360718,O=C(Nc1ccc(S(=O)(=O)N2CCC(Cl)CC2)cc1)c1ccc([N+](=O)[O-])o1,O=C(Nc1ccc(S(=O)(=O)N2CCC(Cl)CC2)cc1)c1ccc([N+](=O)[O-])o1,5.1,Active,EC50,Leishmania amazonensis,L_amazonensis,O=C(Nc1ccc(S(=O)(=O)N2CCCCC2)cc1)c1ccco1,CHEMBL3996935,Anti-parasitic activity against Leishmania amazonensis promastigotes after 44 hrs by CellTiter-Blue assay
CHEMBL3360717,O=C(Nc1ccc(S(=O)(=O)N2CCC(F)CC2)cc1)c1ccc([N+](=O)[O-])o1,O=C(Nc1ccc(S(=O)(=O)N2CCC(F)CC2)cc1)c1ccc([N+](=O)[O-])o1,5.13,Active,EC50,Leishmania amazonensis,L_amazonensis,O=C(Nc1ccc(S(=O)(=O)N2CCCCC2)cc1)c1ccco1,CHEMBL3996935,Anti-parasitic activity against Leishmania amazonensis promastigotes after 44 hrs by CellTiter-Blue assay
CHEMBL3360715,O=C(Nc1ccc(S(=O)(=O)N2CCC(O)CC2)cc1)c1ccc([N+](=O)[O-])o1,O=C(Nc1ccc(S(=O)(=O)N2CCC(O)CC2)cc1)c1ccc([N+](=O)[O-])o1,5.36,Active,EC50,Leishmania amazonensis,L_amazonensis,O=C(Nc1ccc(S(=O)(=O)N2CCCCC2)cc1)c1ccco1,CHEMBL3996935,Anti-parasitic activity against Leishmania amazonensis promastigotes after 44 hrs by CellTiter-Blue assay
CHEMBL3360721,O=C(Nc1ccc(S(=O)(=O)N2CCC3(CCCCC3)CC2)cc1)c1ccc([N+](=O)[O-])o1,O=C(Nc1ccc(S(=O)(=O)N2CCC3(CCCCC3)CC2)cc1)c1ccc([N+](=O)[O-])o1,5.82,Active,EC50,Leishmania amazonensis,L_amazonensis,O=C(Nc1ccc(S(=O)(=O)N2CCC3(CCCCC3)CC2)cc1)c1ccco1,CHEMBL3996935,Anti-parasitic activity against Leishmania amazonensis promastigotes after 44 hrs by CellTiter-Blue assay
CHEMBL4091964,O=C(Nc1ccc(S(=O)(=O)N2CCC3(CCCCC3)CC2)cc1)c1ccc([N+](=O)[O-])s1,O=C(Nc1ccc(S(=O)(=O)N2CCC3(CCCCC3)CC2)cc1)c1ccc([N+](=O)[O-])s1,7.0,Active,EC50,Leishmania amazonensis,L_amazonensis,O=C(Nc1ccc(S(=O)(=O)N2CCC3(CCCCC3)CC2)cc1)c1cccs1,CHEMBL3996935,Anti-parasitic activity against Leishmania amazonensis promastigotes after 44 hrs by CellTiter-Blue assay
CHEMBL3360716,O=C(Nc1ccc(S(=O)(=O)N2CCCCC2)cc1)c1ccc([N+](=O)[O-])o1,O=C(Nc1ccc(S(=O)(=O)N2CCCCC2)cc1)c1ccc([N+](=O)[O-])o1,4.86,Inactive,EC50,Leishmania amazonensis,L_amazonensis,O=C(Nc1ccc(S(=O)(=O)N2CCCCC2)cc1)c1ccco1,CHEMBL3996935,Anti-parasitic activity against Leishmania amazonensis promastigotes after 44 hrs by CellTiter-Blue assay
CHEMBL1335068,O=C(Nc1ccc(S(=O)(=O)N2CCOCC2)cc1)c1ccc([N+](=O)[O-])o1,O=C(Nc1ccc(S(=O)(=O)N2CCOCC2)cc1)c1ccc([N+](=O)[O-])o1,5.52,Active,EC50,Leishmania amazonensis,L_amazonensis,O=C(Nc1ccc(S(=O)(=O)N2CCOCC2)cc1)c1ccco1,CHEMBL3996935,Anti-parasitic activity against Leishmania amazonensis promastigotes after 44 hrs by CellTiter-Blue assay
CHEMBL1525567,O=C(Nc1ccc(S(=O)(=O)N2CCOCC2)cc1)c1ccc([N+](=O)[O-])s1,O=C(Nc1ccc(S(=O)(=O)N2CCOCC2)cc1)c1ccc([N+](=O)[O-])s1,5.89,Active,EC50,Leishmania amazonensis,L_amazonensis,O=C(Nc1ccc(S(=O)(=O)N2CCOCC2)cc1)c1cccs1,CHEMBL3996935,Anti-parasitic activity against Leishmania amazonensis promastigotes after 44 hrs by CellTiter-Blue assay
CHEMBL4089566,O=C(Nc1cccc(S(=O)(=O)N2CCOCC2)c1)c1ccc([N+](=O)[O-])o1,O=C(Nc1cccc(S(=O)(=O)N2CCOCC2)c1)c1ccc([N+](=O)[O-])o1,6.05,Active,EC50,Leishmania amazonensis,L_amazonensis,O=C(Nc1cccc(S(=O)(=O)N2CCOCC2)c1)c1ccco1,CHEMBL3996935,Anti-parasitic activity against Leishmania amazonensis promastigotes after 44 hrs by CellTiter-Blue assay
CHEMBL3085896,O=S(=O)(Nc1ccc2[nH]ncc2c1)c1ccc(F)cc1,O=S(=O)(Nc1ccc2[nH]ncc2c1)c1ccc(F)cc1,3.9366666410482503,Inactive,IC50,Leishmania amazonensis,L_amazonensis,O=S(=O)(Nc1ccc2[nH]ncc2c1)c1ccccc1,CHEMBL3090726,Leishmanicidal activity against extracellular promastigote stage of Leishmania amazonensis MHOM/Br/79/Maria assessed as reduction of parasite load after 48 hrs by resazurin dye-based fluorometric analysis
CHEMBL3085897,O=S(=O)(Nc1ccc2[nH]ncc2c1)c1cccc2ccccc12,O=S(=O)(Nc1ccc2[nH]ncc2c1)c1cccc2ccccc12,4.42,Inactive,IC50,Leishmania amazonensis,L_amazonensis,O=S(=O)(Nc1ccc2[nH]ncc2c1)c1cccc2ccccc12,CHEMBL3090726,Leishmanicidal activity against extracellular promastigote stage of Leishmania amazonensis MHOM/Br/79/Maria assessed as reduction of parasite load after 48 hrs by resazurin dye-based fluorometric analysis
CHEMBL3085895,O=S(=O)(Nc1ccc2[nH]ncc2c1)c1ccccc1,O=S(=O)(Nc1ccc2[nH]ncc2c1)c1ccccc1,4.46,Inactive,IC50,Leishmania amazonensis,L_amazonensis,O=S(=O)(Nc1ccc2[nH]ncc2c1)c1ccccc1,CHEMBL3090716,Leishmanicidal activity against intracellular amastigote stage of Leishmania amazonensis MHOM/Br/79/Maria infected in mouse J774 cells assessed as reduction of parasite load after 48 hrs by resazurin dye-based fluorometric analysis
CHEMBL424146,O=S(=O)(Nc1ccc2c[nH]nc2c1)c1ccc(Cl)cc1,O=S(=O)(Nc1ccc2c[nH]nc2c1)c1ccc(Cl)cc1,4.23,Inactive,IC50,Leishmania amazonensis,L_amazonensis,O=S(=O)(Nc1ccc2c[nH]nc2c1)c1ccccc1,CHEMBL3090726,Leishmanicidal activity against extracellular promastigote stage of Leishmania amazonensis MHOM/Br/79/Maria assessed as reduction of parasite load after 48 hrs by resazurin dye-based fluorometric analysis
CHEMBL3085899,O=S(=O)(Nc1ccc2c[nH]nc2c1)c1ccc(F)cc1,O=S(=O)(Nc1ccc2cn[nH]c2c1)c1ccc(F)cc1,3.9669785553170893,Inactive,IC50,Leishmania amazonensis,L_amazonensis,O=S(=O)(Nc1ccc2c[nH]nc2c1)c1ccccc1,CHEMBL3090726,Leishmanicidal activity against extracellular promastigote stage of Leishmania amazonensis MHOM/Br/79/Maria assessed as reduction of parasite load after 48 hrs by resazurin dye-based fluorometric analysis
CHEMBL3085888,O=S(=O)(Nc1ccc2nccnc2c1)c1ccc(Cl)cc1,O=S(=O)(Nc1ccc2nccnc2c1)c1ccc(Cl)cc1,4.33,Inactive,IC50,Leishmania amazonensis,L_amazonensis,O=S(=O)(Nc1ccc2nccnc2c1)c1ccccc1,CHEMBL3090726,Leishmanicidal activity against extracellular promastigote stage of Leishmania amazonensis MHOM/Br/79/Maria assessed as reduction of parasite load after 48 hrs by resazurin dye-based fluorometric analysis
CHEMBL3085889,O=S(=O)(Nc1ccc2nccnc2c1)c1ccc(F)cc1,O=S(=O)(Nc1ccc2nccnc2c1)c1ccc(F)cc1,4.85,Inactive,IC50,Leishmania amazonensis,L_amazonensis,O=S(=O)(Nc1ccc2nccnc2c1)c1ccccc1,CHEMBL3090726,Leishmanicidal activity against extracellular promastigote stage of Leishmania amazonensis MHOM/Br/79/Maria assessed as reduction of parasite load after 48 hrs by resazurin dye-based fluorometric analysis
CHEMBL3085901,O=S(=O)(Nc1ccc2ncsc2c1)c1ccccc1,O=S(=O)(Nc1ccc2ncsc2c1)c1ccccc1,4.095000000000001,Inactive,IC50,Leishmania amazonensis,L_amazonensis,O=S(=O)(Nc1ccc2ncsc2c1)c1ccccc1,CHEMBL3090716,Leishmanicidal activity against intracellular amastigote stage of Leishmania amazonensis MHOM/Br/79/Maria infected in mouse J774 cells assessed as reduction of parasite load after 48 hrs by resazurin dye-based fluorometric analysis
