feature,mean_shap,abs_mean_shap,std_shap,type
mordred_ATSC4p,0.00090301724,0.020973407,0.030828813,Mordred 2D
mordred_GATS4v,-0.0002621796,0.020964118,0.02877293,Mordred 2D
mordred_FilterItLogS,-0.0004049832,0.02084723,0.0340158,Mordred 2D
mordred_GATS3d,0.0006295531,0.020734094,0.027584234,Mordred 2D
mordred_GATS5c,0.00064352684,0.02071239,0.029027576,Mordred 2D
mordred_CIC3,0.0033417516,0.02066095,0.02784678,Mordred 2D
mordred_SsssCH,-0.0005459551,0.020564832,0.055182796,Mordred 2D
mordred_SlogP_VSA3,0.0008304669,0.020411558,0.02997403,Mordred 2D
mordred_MDEC-33,-0.001330443,0.020408984,0.036799125,Mordred 2D
mordred_EState_VSA7,-0.0003830413,0.020393906,0.026785038,Mordred 2D
mordred_GATS8Z,3.9438673e-05,0.020267978,0.026577888,Mordred 2D
mordred_AATSC4v,0.0018095622,0.020105476,0.033123914,Mordred 2D
mordred_SMR_VSA5,0.0024754677,0.020096656,0.030650854,Mordred 2D
mordred_ATSC5v,-0.0008057287,0.020017998,0.032155067,Mordred 2D
mordred_PEOE_VSA7,-0.00089225045,0.019928811,0.025252806,Mordred 2D
mordred_AATS2d,-0.0010400865,0.019921798,0.02650335,Mordred 2D
mordred_MATS7se,-0.0008420419,0.019909022,0.026315624,Mordred 2D
mordred_ATSC4c,-0.0021877072,0.019765353,0.026560409,Mordred 2D
mordred_SMR_VSA3,0.0021315797,0.019567695,0.023570687,Mordred 2D
mordred_GATS3s,0.00047248835,0.019495137,0.031039344,Mordred 2D
mordred_ATSC8c,0.0023801334,0.019455059,0.02709788,Mordred 2D
mordred_Xch-6d,0.0019085412,0.01942226,0.02582212,Mordred 2D
mordred_GATS8se,-0.0014827691,0.019370493,0.02608056,Mordred 2D
mordred_MINaaCH,0.00040059106,0.019062826,0.03810383,Mordred 2D
mordred_ATSC6v,0.0012277465,0.01896248,0.024327813,Mordred 2D
mordred_TopoPSA,0.0005863078,0.018896837,0.025031198,Mordred 2D
mordred_VE1_A,-0.00056062045,0.018816873,0.025154056,Mordred 2D
rdkit_SMR_VSA10,0.0015843811,0.018783692,0.027344221,RDKit 2D
mordred_AATSC5Z,0.0011029043,0.018633166,0.02316635,Mordred 2D
mordred_ATSC7v,0.0010105066,0.018582566,0.02291285,Mordred 2D
mordred_MATS8d,0.0024785614,0.018319668,0.026435636,Mordred 2D
mordred_MDEC-22,-0.0010900067,0.018224113,0.025072563,Mordred 2D
mordred_GATS7se,0.0013058691,0.018131271,0.026088804,Mordred 2D
mordred_AMID_O,-0.00024617647,0.01802983,0.02372057,Mordred 2D
mordred_MATS1d,0.0007805004,0.01786027,0.030581223,Mordred 2D
mordred_VSA_EState3,0.00068216014,0.017746208,0.027487373,Mordred 2D
mordred_GATS3i,-0.00028847085,0.017701954,0.021935087,Mordred 2D
mordred_AATS6p,0.0012487248,0.017628677,0.020803286,Mordred 2D
mordred_ATSC7c,0.000409902,0.017426264,0.022486756,Mordred 2D
mordred_AATS6v,-0.00018265213,0.017403448,0.024389466,Mordred 2D
mordred_GATS7v,0.0011892789,0.017349645,0.023387898,Mordred 2D
mordred_TSRW10,-0.00057892484,0.017339801,0.022067597,Mordred 2D
mordred_BCUTi-1l,-0.0006465681,0.017142748,0.024021648,Mordred 2D
